rank,name,address,city,state,zip_code,phn_nbr,website,tckr,ipo_yr,yr_founded,gen_buss_desc,curr_top_exec,yr_estblsh,austin_staff_cnt,comp_staff_cnt,tot_local_emp_cnt,exchng,lat,lng,industry,sector,marketcap
1,Whole Foods Market Inc.,550 Bowie St.,Austin,TX,78703,512-476-1206,wholefoodsmarket.com,WFMI,1992,1980.0,"Retail grocery of natural and organic foods; operates 431 stores:U.S. (412), Canada (10), U.K.(9)","John  Mackey,  CEO",1980.0,3000.0,87000,2530.0,Nasdaq,30.2706347,-97.7528921,unknown,unknown,0
2,National Instruments Corp.,11500 N. MoPac Expy.,Austin,TX,78759,512-683-0100,ni.com,NATI,1995,1976.0,"Designs, manufactures and sells tools to engineers and scientists, equipping them with systems that accelerate productivity, innovation and discovery ","Alex  Davern,  President/CEO",1976.0,2500.0,7552,2600.0,Nasdaq,30.4083821,-97.7262444,Application Software,Technology,6679636113
3,Cirrus Logic Inc.,800 W. Sixth St.,Austin,TX,78701,512-851-4000,cirrus.com,CRUS,1989,1984.0,"Semiconductor developing high-precision, analog and mixed-signal integrated circuits for audio and energy applications","Jason  Rhode,  President/CEO",1984.0,740.0,1291,680.0,Nasdaq,30.2708146,-97.7506641,Semiconductors,Technology,2803960147
4,American Campus Communities Inc.,12700 Hill Country Blvd.,Austin,TX,78738,512-732-1000,AmericanCampus.com,ACC,2004,1993.0,Real estate investment trust (REIT) owns manages and develops high quality student housing properties,"William  Bayless,  President/CEO",1993.0,375.0,3170,397.0,NYSE,30.3090124,-97.9413249,REITs,Real Estate,5102351324
5,EZCorp Inc.,2500 Bee Cave Rd. Bldg. 1-200,Austin,TX,78746,512-314-3400,ezcorp.com,EZPW,1991,1989.0,"Provides pawn loans and consumer loans in the U.S,, Mexico and Canada","Stuart  Grimshaw,  CEO",1989.0,240.0,5600,270.0,Nasdaq,30.2681186,-97.7845456,Credit Services,Financial Services,716207084
6,Silicon Laboratories Inc.,400 W. Cesar Chavez St.,Austin,TX,78701,512-416-8500,silabs.com,SLAB,2000,1996.0,Designs mixed-signal integrated circuits and provides semiconductor and software products for the Internet of Things market,"Tyson  Tuttle,  CEO",1996.0,650.0,1252,600.0,Nasdaq,30.2648128,-97.7484564,Semiconductors,Technology,4061583961
7,National Western Life Group Inc.,850 E. Anderson Ln.,Austin,TX,78752,512-836-1010,nationalwesternlife.com,NWLI,1978,1963.0,Life insurance company,"Ross  Moody,  CEO/President",1963.0,270.0,270,261.0,Nasdaq,30.33874,-97.6976923,Insurance - Life,Financial Services,1108157950
8,Parsley Energy LLC,303 Colorado St.,Austin,TX,78701,512-505-5131,parsleyenergy.com,PE,2014,2008.0,"Indep. oil & gas exploration and production company focused on the acquisition, development and exploitation of unconventional reserves in the Permian Basin","Bryan  Sheffield,  President/CEO",2008.0,0.0,298,111.0,NYSE,30.2658296,-97.744641,Oil & Gas - E&P,Energy,8240124079
9,Chuy's Holdings Inc.,1623 Toomey Rd.,Austin,TX,78704,512-473-2783,chuys.com,CHUY,2012,1982.0,Full-service Tex Mex restaurant concept ,"Steven  Hislop,  President/CEO",1982.0,893.0,8200,250.0,Nasdaq,30.2643533,-97.7612369,Restaurants,Consumer Cyclical,460052558
10,Thermon Group Holdings Inc.,100 Thermon Dr.,San Marcos,TX,78666,512-396-5801,thermon.com,THR,2011,1954.0,Provider of highly engineered thermal solutions for process industries,"Bruce  Thames,  President/CEO",1954.0,450.0,1021,0.0,NYSE,29.8538875,-97.9577965,Industrial Products,Industrials,727200656
11,Amplify Snack Brands,500 W. Fifth St. #1350,Austin,TX,78701,512-600-9893,amplifysnackbrands.com,BETR,2015,0.0,Better-for-you (BFY) snack food company with two main brands: SkinnyPop and Paqui,"Thomas  Ennis,  President/CEO",0.0,0.0,623,24.0,NYSE,35.2317548,-80.845693,Consumer Packaged Goods,Consumer Defensive,920878896
12,Luminex Corp.,12212 Technology Blvd.,Austin,TX,78727,512-219-8020,luminexcorp.com,LMNX,2000,1995.0,"Develops, manufactures and markets proprietary biological testing technologies, with applications throughout the life-sciences industry","Nachum “Homi”  Shamir,  President/CEO",1998.0,475.0,914,500.0,Nasdaq,30.4337645,-97.7608291,Medical Instruments & Equipment,Healthcare,893865257
13,USA Compression Partners LLC,100 Congress Ave.,Austin,TX,78701,512-473-2662,usacompression.com,USAC,2013,1998.0,Independent providers of compression services for natural gas in shale plays,"Eric  Long,  President/CEO ",1998.0,26.0,433,37.0,NYSE,30.2639807,-97.7448532,Oil & Gas - Services,Energy,1119499290
14,Citizens Inc.,400 E. Anderson Lane,Austin,TX,78752,512-837-7100,citizensinc.com,CIA,1988,1969.0,Life insurance holding company ,"Geoffrey  Kolander,  CEO",1969.0,134.0,730,0.0,NYSE,30.3427668,-97.70276539999999,Insurance - Life,Financial Services,364094890
15,Bazaarvoice Inc.,10901 Stonelake Blvd.,Austin,TX,78759,512-551-6000,bazaarvoice.com,BV,2012,2005.0,"Powers an online network connecting brands and retailers to shoppers; includes online product ratings, reviews and analytics that drive brand awareness, consideration, sales and loyalty","Gene  Austin,  CEO",2005.0,555.0,756,600.0,Nasdaq,30.3995864,-97.7369939,Application Software,Technology,474102585
16,Forestar Group Inc.,6300 Bee Caves Rd.,Austin,TX,78746,512-433-5200,forestargroup.com,FOR,2007,2006.0,Real estate and oil & gas company,"Phillip  Weber,  CEO",2006.0,0.0,59,43.0,NYSE,30.2973869,-97.8305939,Real Estate Services,Real Estate,1069442868
17,Q2 Holdings Inc.,13785 Research Blvd.,Austin,TX,78750,512-275-0072,q2ebanking.com,QTWO,2014,2004.0,"Holding company, which through its subsidiaries provides secure, cloud-based digital banking solutions for community-focused financial institutions ","Matt  Flake,  President/CEO",2004.0,758.0,742,465.0,NYSE,30.4632616,-97.79303890000001,Application Software,Technology,1969024684
18,Jones Energy Inc.,807 Las Cimas Pkwy.,Austin,TX,78746,512-328-2953,jonesenergy.com,JONE,2013,1988.0,"Independent oil and gas company engaged in the development, production and acquisition of oil and natural gas properties in the Anadarko and Arkoma basins of Texas and, Oklahoma.","Jonny  Jones,  CEO",1993.0,52.0,90,53.0,NYSE,30.2887157,-97.8295716,Oil & Gas - E&P,Energy,99053294
19,Xplore Technologies Corp.,14000 Summit Dr. #900,Austin,TX,78728,512-336-7797,xploretech.com,XPLR,2012,1996.0,"Rugged, mobile computers","Mark  Holleran,  President/COO",1996.0,0.0,114,80.0,Nasdaq,41.6141026,-93.811854,Computer Hardware,Technology,34206652
20,Digital Turbine Inc.,1300 Guadalupe St.,Austin,TX,78701,512-387-7717,digitalturbine.com,APPS,1998,1998.0,"Mobile software and advertising company that partners with wireless carriers and advertisers, to deliver the right app to the right person at the right time","Bill  Stone III,  CEO",2015.0,27.0,161,25.0,Nasdaq,30.2764381,-97.7439666,Application Software,Technology,175835448
21,Stratus Properties Inc.,212 Lavaca St.,Austin,TX,78701,512-478-5788,stratusproperties.com,STRS,1992,1992.0,"Diversified real estate company engaged primarily in the development, management, operation and/or sale of commercial, hotel, entertainment, and multi- and single-family residential real estate properties in Texas","William  Armstrong,  President/CEO",1992.0,40.0,123,39.0,Nasdaq,30.2658258,-97.74654729999999,Real Estate Services,Real Estate,247258461
22,Upland Software Inc.,401 Congress Ave. #1850,Austin,TX,78701,512-960-1010,uplandsoftware.com,UPLD,2014,2010.0,Provider of cloud-based enterprise work management software,"Jack  McDonald,  CEO",2010.0,0.0,251,0.0,Nasdaq,30.266399,-97.742779,Application Software,Technology,494670155
23,Asure Software Inc.,110 Wild Basin Rd. #100,Austin,TX,78746,888-323-8835,asuresoftware.com,ASUR,1992,1985.0,Provider of cloud-based software-as-a-service (“SaaS”) for workforce management and space utilization ,"Patrick  Goepel,  CEO",1989.0,50.0,179,45.0,Nasdaq,30.3065468,-97.82787189999999,Application Software,Technology,181516899
24,Aeglea BioTherapeutics Holdings LLC,Ppac Expy.,Austin,TX,78746,512-942-2935,aegleabio.com,AGLE,2016,0.0,"Develops enzymes that target metabolic diseases, including cancerous tumors. Four drug candidates that degrade specific amino acids in the circulation are in development. ","David  Lowe,  President/CEO",2013.0,37.0,30,24.0,Nasdaq,30.4079758,-97.7317193,Biotechnology,Healthcare,106190781
25,FieldPoint Petroleum Corp.,609 Castle Ridge Rd. #335,Austin,TX,78746,512-579-3560,fppcorp.com,FPP,1998,1989.0,"Oil and gas exploration, production and acquisition.","Phillip  Roberson,  President/CFO",1989.0,3.0,3,4.0,AMEX,,,Oil & Gas - E&P,Energy,2133952
26,Astrotech Corp.,401 Congress Ave. # 1650,Austin,TX,78701,512-485-9530,astrotechcorp.com,ASTC,1995,1984.0,Advanced government technology commercialization,"Thomas   Pickens III,  CEO",2009.0,14.0,62,0.0,Nasdaq,30.266399,-97.742779,Aerospace & Defense,Industrials,12363689
27,Vermillion Inc.,12117 Bee Caves Rd.,Austin,TX,78738,512-519-0400,vermillion.com,VRML,2003,1993.0,"Discovery, development and commercialization of medical tests to diagnose, treat patients with gynecologic cancers and related diseases","Valerie  Palmieri,  President/CEO",1993.0,11.0,33,16.0,Nasdaq,30.307557,-97.92861889999999,Medical Diagnostics & Research,Healthcare,82198285
28,Ideal Power Inc.,4120 Freidrich Ln.,Austin,TX,78744,512-264-1542,idealpower.com,IPWR,2014,2017.0,"Patented power conversion technology for energy storage, renewables integration and microgrids","Daniel  Brdar,  President/CEO",2007.0,25.0,30,26.0,Nasdaq,30.2141707,-97.74608549999999,Industrial Products,Industrials,17355190
29,Crossroads Systems Inc.,11000 N. MoPac Expwy.,Austin,TX,78759,512-349-0300,crossroads.com,CRDS,1999,1995.0,"Software to help storage, management, protection, archiving and retrieval of digital data","Richard 'Rick'  Coleman Jr.,  President/CEO",1995.0,5.0,5,0.0,Nasdaq,30.4001651,-97.7324026,unknown,unknown,0
30,Savara Pharmaceuticals,900 S. Capital of Texas Hwy.,Austin,TX,78746,512-961-1891,savarapharma.com,SVRA,2017,2008.0,Clinical-stage pharmaceutical company developing therapies for the treatment of serious or life-threatening rare respiratory diseases,"Rob  Neville,  CEO",2009.0,15.0,24,0.0,Nasdaq,30.2877103,-97.82944769999999,Biotechnology,Healthcare,352893018
31,Victory Energy,3355 Bee Cave Rd. #608,Austin,TX,78746,512-347-7300,vyey.com,VYEY,2006,1982.0,"Oil and gas exploration and production company with resources located in Midland, Tx. focused on  low-risk vertical well development","Kenneth  Hill,  Kenneth  Hill,  CEO",2006.0,4.0,2,5.0,OTCQB,,,unknown,unknown,0
32,Superconductor Technologies Inc. (STI),9101 Wall St.,Austin,TX,78754,512-334-8900,suptech.com,SCON,1993,1987.0,"Develop and manufacture high temperature superconductor (“HTS”) materials and related, technologies","Jeffery  Quiram,  President/CEO",2011.0,25.0,23,25.0,Nasdaq,30.3422541,-97.6683286,Semiconductors,Technology,12803521
33,XBiotech Inc.,8201 E. Riverside,Austin,TX,78744,512-386-2900,xbiotech.com,XBIT,2015,2005.0,"Develops therapeutic antibodies for cancer, type II diabetes, acne, psoriasis and Ebola","John  Simard,  President/CEO",2005.0,0.0,106,0.0,Nasdaq,30.2164665,-97.6848849,Biotechnology,Healthcare,170810061
33,Pain Therapeutics Inc.,7801 N. Capital of Tx. Hwy.,Austin,TX,78731,512-501-2444,paintrials.com,PTIE,2000,1998.0,Biopharmaceutical company that develops novel drugs,"Remi  Barbier,  President/CEO",1998.0,9.0,9,8.0,Nasdaq,30.3764005,-97.7783066,Biotechnology,Healthcare,41090021
33,Mirna Therapeutics Inc.,2150 Woodward St.,Austin,TX,78744,512-901-0900,mirnarx.com,MIRN,2015,2007.0,"Clinical stage biopharmaceutical company developing microRNA based oncology therapeutics. In September 2016, Mirna halted the phase 1 trial due to immune-related adverse events and theFDA put MRX34 of full clinical hold. ","Paul  Lammers,  President/CEO",2007.0,9.0,9,0.0,Nasdaq,30.212467,-97.74399690000001,unknown,unknown,0
